Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.75,0.0001,0.03,5,6,12,1.1425288596632768
0.75,0.0001,0.03,5,8,26,1.1426217493229469
0.75,0.0001,0.03,5,10,3,1.1443817607268865
0.75,0.0001,0.03,10,6,11,1.141537155793692
0.75,0.0001,0.03,10,8,14,1.1433794113457867
0.75,0.0001,0.03,10,10,4,1.1438661254185463
0.75,0.0001,0.03,20,6,19,1.145676093968254
0.75,0.0001,0.03,20,8,25,1.1399374618490001
0.75,0.0001,0.03,20,10,25,1.1391333126312035
0.75,0.0001,0.1,5,6,16,1.1426470562969941
0.75,0.0001,0.1,5,8,7,1.1305706200876284
0.75,0.0001,0.1,5,10,4,1.1470609497803308
0.75,0.0001,0.1,10,6,11,1.1434124033310777
0.75,0.0001,0.1,10,8,10,1.1387439070371794
0.75,0.0001,0.1,10,10,24,1.1479461848735046
0.75,0.0001,0.1,20,6,21,1.1420140240072141
0.75,0.0001,0.1,20,8,17,1.1438801208157072
0.75,0.0001,0.1,20,10,11,1.1508340713566925
0.75,0.0003,0.01,5,6,28,1.1413213469970651
0.75,0.0003,0.01,5,8,29,1.1409298553054616
0.75,0.0003,0.01,5,10,18,1.1342075972856558
0.75,0.0003,0.01,10,6,26,1.1346709295865456
0.75,0.0003,0.01,10,8,25,1.1446212038255323
0.75,0.0003,0.01,10,10,11,1.1453269805222248
0.75,0.0003,0.01,20,6,25,1.1479551971527846
0.75,0.0003,0.01,20,8,26,1.1437493067439062
0.75,0.0003,0.01,20,10,22,1.1399299040968691
0.75,0.0003,0.03,5,6,15,1.1412859320200028
0.75,0.0003,0.03,5,8,6,1.1389919708205347
0.75,0.0003,0.03,5,10,28,1.1391661305034606
0.75,0.0003,0.03,10,6,6,1.1382363322510329
0.75,0.0003,0.03,10,8,21,1.1427047060721625
0.75,0.0003,0.03,10,10,10,1.1470897460015848
0.75,0.0003,0.03,20,6,6,1.1424610355798088
0.75,0.0003,0.03,20,8,14,1.1418579170143086
0.75,0.0003,0.03,20,10,11,1.1386778633324315
0.75,0.0003,0.1,5,6,19,1.1436221710361685
0.75,0.0003,0.1,5,8,14,1.1387831417215972
0.75,0.0003,0.1,5,10,13,1.1382512611030198
0.75,0.0003,0.1,10,6,23,1.1419815791728336
0.75,0.0003,0.1,10,8,11,1.1506365191039516
0.75,0.0003,0.1,10,10,12,1.1329291586372223
0.75,0.0003,0.1,20,6,12,1.1361952504888999
0.75,0.0003,0.1,20,8,16,1.1409622327545936
0.75,0.0003,0.1,20,10,10,1.1309399372889024
0.75,0.001,0.01,5,6,17,1.146540640500215
0.75,0.001,0.01,5,8,24,1.1384130908128798
0.75,0.001,0.01,5,10,28,1.1466444120004924
0.75,0.001,0.01,10,6,29,1.1518490896111326
0.75,0.001,0.01,10,8,19,1.1493249429855594
0.75,0.001,0.01,10,10,21,1.1453700529048947
0.75,0.001,0.01,20,6,28,1.1446654451981662
0.75,0.001,0.01,20,8,17,1.1371163246557998
0.75,0.001,0.01,20,10,18,1.1389512610903407
0.75,0.001,0.03,5,6,14,1.1428769387954294
0.75,0.001,0.03,5,8,6,1.1420263622777167
0.75,0.001,0.03,5,10,25,1.1435563663204698
0.75,0.001,0.03,10,6,24,1.1350463277334943
0.75,0.001,0.03,10,8,5,1.1405828187460461
0.75,0.001,0.03,10,10,21,1.1373890438882026
0.75,0.001,0.03,20,6,4,1.1386873092807503
0.75,0.001,0.03,20,8,12,1.1396394978538373
0.75,0.001,0.03,20,10,7,1.1415871021763218
0.75,0.001,0.1,5,6,12,1.1366162735113234
0.75,0.001,0.1,5,8,8,1.1215558728423114
0.75,0.001,0.1,5,10,10,1.1366512187116014
0.75,0.001,0.1,10,6,10,1.1317977053388935
0.75,0.001,0.1,10,8,20,1.1389295347924202
0.75,0.001,0.1,10,10,23,1.1343909378080586
0.75,0.001,0.1,20,6,20,1.1423223452698423
0.75,0.001,0.1,20,8,2,1.1454393687866973
0.75,0.001,0.1,20,10,8,1.1444059634238404
0.75,0.01,0.01,5,6,14,1.1430245458182642
0.75,0.01,0.01,5,8,26,1.142439569447032
0.75,0.01,0.01,5,10,28,1.1432646631721481
0.75,0.01,0.01,10,6,19,1.139673521022204
0.75,0.01,0.01,10,8,25,1.1404103967245214
0.75,0.01,0.01,10,10,18,1.141643244118538
0.75,0.01,0.01,20,6,27,1.1439545625036154
0.75,0.01,0.01,20,8,16,1.1344401311309698
0.75,0.01,0.01,20,10,16,1.1440031134515611
0.75,0.01,0.03,5,6,16,1.1389303046234929
0.75,0.01,0.03,5,8,2,1.1352898320108862
0.75,0.01,0.03,5,10,4,1.1411609604626047
0.75,0.01,0.03,10,6,8,1.1428586137950836
0.75,0.01,0.03,10,8,6,1.1325683510724853
0.75,0.01,0.03,10,10,25,1.1410016636278473
0.75,0.01,0.03,20,6,22,1.140574975663929
0.75,0.01,0.03,20,8,11,1.1332034495711769
0.75,0.01,0.03,20,10,28,1.1417557976347144
0.75,0.01,0.1,5,6,14,1.138458734779733
