Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.75,0.0001,0.03,10,8,3,1.148529646
0.6,0.01,0.01,10,10,19,1.148529822
0.6,0.001,0.03,10,6,2,1.148550767
0.9,1.00E-05,0.03,10,6,11,1.148592807
0.6,0.0003,0.01,5,6,25,1.148600061
0.9,0.0003,0.03,20,8,4,1.148638187
0.6,0.001,0.1,5,6,1,1.148661047
0.75,0.01,0.03,5,6,3,1.148670677
0.6,0.0001,0.1,20,6,2,1.148787848
0.9,0.001,0.03,10,6,9,1.14886566
0.9,0.0003,0.03,10,8,4,1.148929992
0.75,1.00E-05,0.03,5,6,2,1.148931689
0.75,0.001,0.1,5,10,1,1.148943493
0.75,0.01,0.1,20,6,6,1.148953139
0.75,0.0001,0.1,5,10,5,1.148953966
0.6,0.001,0.01,5,6,27,1.149009574
0.6,0.001,0.03,20,6,10,1.149136348
0.75,0.0003,0.03,20,6,4,1.14921021
0.75,0.0001,0.03,10,6,4,1.14921826
0.6,1.00E-05,0.1,5,6,4,1.149223967
0.6,0.0003,0.01,10,10,5,1.149284704
0.9,0.01,0.1,5,10,3,1.149336798
0.9,0.0003,0.1,20,6,1,1.149562105
0.75,1.00E-05,0.03,5,10,7,1.149589295
0.6,0.01,0.03,20,10,2,1.149720982
0.9,0.001,0.1,5,8,3,1.149746869
0.75,0.0003,0.03,10,6,11,1.149865984
0.75,0.0003,0.03,10,10,10,1.149931782
0.9,0.0001,0.03,10,8,4,1.149962543
0.6,0.001,0.1,20,6,2,1.149971066
0.75,1.00E-05,0.01,20,10,29,1.15002057
0.6,0.0001,0.03,20,6,14,1.15009628
0.9,0.001,0.1,5,10,4,1.150100554
0.75,0.01,0.03,20,8,10,1.150187385
0.6,0.0001,0.1,5,6,7,1.150188716
0.75,0.01,0.1,5,6,6,1.150206531
0.6,0.01,0.03,10,10,3,1.150233051
0.75,0.01,0.01,20,10,7,1.150316264
0.75,0.001,0.03,5,6,11,1.150333508
0.75,0.01,0.03,5,10,3,1.150396581
0.9,0.001,0.1,10,10,3,1.150491354
0.9,0.0003,0.1,5,10,1,1.15069705
0.9,1.00E-05,0.03,5,6,10,1.150734782
0.75,0.001,0.03,10,6,11,1.150791299
0.9,0.001,0.1,10,6,1,1.150838587
0.75,1.00E-05,0.03,10,6,11,1.150908215
0.9,1.00E-05,0.1,10,10,3,1.150918887
0.9,0.001,0.1,5,6,4,1.150931291
0.9,0.01,0.03,10,8,9,1.150990216
0.6,0.01,0.1,10,8,1,1.151080021
0.6,1.00E-05,0.01,5,6,24,1.15110758
0.9,0.01,0.1,10,6,5,1.151137918
0.6,0.0003,0.1,5,6,2,1.151156028
0.9,0.001,0.03,20,10,3,1.151252243
0.75,0.0003,0.03,5,6,10,1.151457602
0.9,0.0001,0.03,5,8,2,1.151627919
0.75,0.001,0.1,20,8,4,1.151698062
0.9,0.0001,0.1,5,10,4,1.151727595
0.9,0.01,0.1,20,10,1,1.151920189
0.6,0.0001,0.1,10,8,4,1.15209946
0.9,0.0003,0.03,20,10,3,1.152125032
0.6,0.0003,0.1,5,10,3,1.152272897
0.6,0.01,0.1,10,10,3,1.152302739
0.75,0.0003,0.1,5,10,3,1.152315774
0.75,1.00E-05,0.03,20,8,4,1.152359035
